business_id,business_type,locality,business_age_years,monthly_avg_revenue,monthly_expense_ratio,cash_flow_consistency_score,inventory_turnover_monthly,seasonal_dip_percent,utility_bill_delays_per_year,mobile_recharge_freq_monthly,num_employees,has_gst,loan_amount_requested,previous_loan_taken,previous_loan_defaulted,monthly_net_income,loan_to_income_ratio,defaulted
BIZ0015,Medical Store,Urban,7.7,297894,0.54,99.3,7.2,17.5,5,6,5,0,435921,1,0,137031,0.27,0
BIZ0016,Electrical Shop,Urban,0.7,24472,0.85,35.3,2.6,35.7,0,6,5,1,213151,1,0,3670,4.84,1
BIZ0017,Tea Stall,Semi-Urban,7.7,127036,0.78,76.3,7.1,1.6,5,5,6,1,471116,0,0,27947,1.4,0
BIZ0018,Bakery,Urban,2.7,203674,0.67,61.4,4.5,3.9,6,1,7,0,154335,0,0,67212,0.19,0
BIZ0019,Medical Store,Rural,2.1,176838,0.42,61.3,5.3,44.0,1,6,13,1,466926,0,0,102566,0.38,0
BIZ0020,Tea Stall,Semi-Urban,9.3,81060,0.81,62.0,4.1,19.3,8,7,13,1,70110,0,0,15401,0.38,0
BIZ0021,Electrical Shop,Urban,3.7,286223,0.65,48.1,11.2,20.8,7,1,4,0,418176,0,0,100178,0.35,0
BIZ0022,Kirana Store,Semi-Urban,3.4,154471,0.79,80.1,8.5,12.5,8,2,7,0,291933,1,0,32438,0.75,0
BIZ0023,Stationery Shop,Urban,3.3,293676,0.78,80.5,3.9,26.7,9,4,5,1,287677,1,0,64608,0.37,0
BIZ0024,Medical Store,Semi-Urban,1.9,58162,0.77,49.8,8.1,3.1,3,5,6,1,338114,1,0,13377,2.11,0
BIZ0025,Mobile Repair,Semi-Urban,6.2,288497,0.71,88.5,10.3,18.0,3,2,4,1,53776,1,0,83664,0.05,0
BIZ0026,Kirana Store,Urban,1.2,127313,0.53,52.2,5.4,31.6,11,2,12,1,466518,1,1,59837,0.65,1
BIZ0027,Stationery Shop,Urban,11.2,43477,0.55,80.8,10.1,27.9,7,1,8,0,305869,0,0,19564,1.3,0
BIZ0028,Vegetable Vendor,Urban,9.0,170642,0.54,38.5,2.7,60.0,0,5,9,0,89367,0,0,78495,0.09,0
BIZ0029,Dairy Shop,Urban,1.6,101373,0.41,41.8,10.1,23.3,7,2,2,0,359374,1,0,59810,0.5,0
BIZ0030,Tailor,Urban,5.2,184176,0.66,52.1,6.9,23.2,6,3,12,0,95542,1,0,62619,0.13,0
BIZ0031,Mobile Repair,Urban,3.4,209442,0.71,71.6,3.5,30.2,11,2,11,0,117534,1,1,60738,0.16,0
BIZ0032,Vegetable Vendor,Rural,1.6,19551,0.78,75.2,5.5,11.4,6,3,4,0,389993,0,0,4301,7.56,1
BIZ0033,Electrical Shop,Urban,17.9,83359,0.46,57.7,11.9,52.6,8,4,11,0,460644,1,0,45013,0.85,0
BIZ0034,Vegetable Vendor,Urban,0.5,158988,0.64,35.4,9.6,34.3,9,3,8,0,277987,0,0,57235,0.4,1
BIZ0035,Dairy Shop,Semi-Urban,1.2,141150,0.4,56.2,7.3,11.5,6,3,8,0,120623,1,1,84690,0.12,0
BIZ0036,Electrical Shop,Urban,2.9,187517,0.44,78.2,2.3,47.6,1,1,9,0,128211,1,1,105009,0.1,0
BIZ0037,Mobile Repair,Rural,3.0,122967,0.42,77.0,5.6,2.1,0,2,3,0,245970,0,0,71320,0.29,0
BIZ0038,Dairy Shop,Semi-Urban,3.6,109455,0.73,41.2,3.9,59.0,0,4,1,0,291629,1,0,29552,0.82,1
BIZ0039,Tea Stall,Semi-Urban,5.6,273835,0.44,30.5,1.8,51.9,6,2,9,1,91771,1,0,153347,0.05,0
BIZ0040,Tailor,Urban,3.9,190405,0.72,82.7,7.0,34.8,4,7,1,1,199746,1,0,53313,0.31,0
BIZ0041,Mobile Repair,Urban,3.7,254646,0.51,37.4,10.8,6.7,3,7,3,0,264276,0,0,124776,0.18,0
BIZ0042,Tea Stall,Urban,0.5,204937,0.79,35.8,8.4,12.9,4,3,3,0,122519,1,0,43036,0.24,0
BIZ0043,Stationery Shop,Rural,1.9,76192,0.77,30.2,3.7,16.8,9,6,9,1,252024,0,0,17524,1.2,0
BIZ0044,Mobile Repair,Urban,1.1,206758,0.83,60.3,7.3,14.5,9,3,1,0,353825,1,0,35148,0.84,0
BIZ0045,Stationery Shop,Urban,1.2,250161,0.8,65.2,11.4,29.9,5,2,7,1,442020,0,0,50032,0.74,0
BIZ0046,Electrical Shop,Rural,3.2,176564,0.82,74.6,9.0,56.7,11,4,2,0,203316,0,0,31781,0.53,1
BIZ0047,Tea Stall,Urban,0.9,167053,0.79,50.7,8.6,26.7,9,6,7,1,288619,0,0,35081,0.69,0
BIZ0048,Tailor,Urban,1.4,206349,0.71,79.7,11.6,39.7,5,4,1,1,151803,0,0,59841,0.21,0
BIZ0049,Dairy Shop,Urban,1.1,122044,0.48,41.9,9.8,41.3,0,1,13,1,77073,0,0,63462,0.1,0
BIZ0050,Bakery,Rural,11.9,196062,0.52,88.2,2.5,52.3,1,3,10,0,35047,0,0,94109,0.03,0
BIZ0051,Vegetable Vendor,Urban,11.6,143406,0.5,70.0,4.8,2.0,2,3,10,1,413248,0,0,71703,0.48,0
BIZ0052,Kirana Store,Semi-Urban,3.8,84351,0.67,70.9,11.6,24.3,3,7,8,1,495908,0,0,27835,1.48,0
BIZ0053,Tailor,Semi-Urban,10.3,196071,0.63,44.7,6.4,47.1,5,1,10,1,383101,0,0,72546,0.44,0
BIZ0054,Tea Stall,Urban,6.2,249085,0.79,35.2,2.2,48.9,11,7,13,0,380635,0,0,52307,0.61,1
BIZ0055,Bakery,Semi-Urban,3.6,248883,0.83,62.5,6.0,55.6,11,2,10,1,112599,1,0,42310,0.22,0
BIZ0056,Tailor,Urban,0.5,85309,0.58,73.1,8.7,42.2,10,3,2,0,73444,1,0,35829,0.17,0
BIZ0057,Tea Stall,Urban,5.9,176805,0.63,36.7,12.0,14.7,8,2,3,0,212920,0,0,65417,0.27,0
BIZ0058,Medical Store,Semi-Urban,4.8,134156,0.84,96.5,4.6,30.3,11,4,14,0,177871,1,1,21464,0.69,0
BIZ0059,Medical Store,Rural,3.8,36576,0.52,98.6,6.7,1.9,1,6,8,0,374002,1,1,17556,1.78,0
BIZ0060,Stationery Shop,Semi-Urban,5.7,18320,0.76,68.2,10.7,38.8,7,6,3,1,220928,0,0,4396,4.19,0
BIZ0061,Tailor,Semi-Urban,2.9,156822,0.5,96.5,4.9,33.3,8,6,1,1,236540,0,0,78411,0.25,0
BIZ0062,Medical Store,Urban,4.9,118002,0.71,42.6,2.2,40.0,1,7,9,0,399041,1,1,34220,0.97,1
BIZ0063,Tea Stall,Urban,10.9,199535,0.51,31.8,11.4,55.8,8,5,8,1,462455,1,0,97772,0.39,0
BIZ0064,Stationery Shop,Urban,1.9,41572,0.8,32.8,6.4,41.2,6,1,4,1,390495,1,0,8314,3.91,1
BIZ0065,Tea Stall,Urban,4.9,295092,0.65,71.1,6.5,19.2,8,6,8,0,82895,1,0,103282,0.07,0
BIZ0066,Stationery Shop,Urban,2.6,131528,0.48,34.3,7.8,11.9,5,3,14,0,395644,0,0,68394,0.48,0
BIZ0067,Tailor,Urban,4.5,184898,0.5,97.1,1.0,51.3,1,1,5,0,459159,1,0,92449,0.41,0
BIZ0068,Bakery,Urban,5.8,104051,0.62,39.9,11.2,11.7,7,4,3,0,87559,0,0,39539,0.18,0
BIZ0069,Dairy Shop,Urban,0.5,206303,0.83,51.3,5.0,9.7,9,4,1,0,442219,0,0,35071,1.05,0
BIZ0070,Mobile Repair,Semi-Urban,4.2,237428,0.75,87.6,5.4,12.4,8,7,13,0,178573,1,0,59357,0.25,0
BIZ0071,Bakery,Rural,1.0,272412,0.62,45.3,2.9,30.5,11,4,10,0,318236,1,1,103516,0.26,1
BIZ0072,Electrical Shop,Urban,4.4,218305,0.55,47.0,5.2,7.5,7,4,5,1,236591,0,0,98237,0.2,0
BIZ0073,Tea Stall,Rural,2.5,290107,0.65,75.0,9.8,56.3,1,5,11,1,316912,0,0,101537,0.26,0
BIZ0074,Electrical Shop,Rural,5.9,64434,0.74,49.3,9.8,58.0,7,2,6,0,321748,1,1,16752,1.6,1
BIZ0075,Bakery,Urban,0.5,81617,0.75,45.2,11.3,58.4,2,2,4,0,374968,1,0,20404,1.53,1
BIZ0076,Stationery Shop,Semi-Urban,3.9,132569,0.55,47.8,5.4,2.3,2,6,7,0,333904,0,0,59656,0.47,0
BIZ0077,Mobile Repair,Semi-Urban,1.3,222384,0.72,64.3,8.8,56.8,8,5,3,0,31476,0,0,62267,0.04,1
BIZ0078,Mobile Repair,Semi-Urban,7.7,96494,0.7,97.6,6.6,59.8,8,7,7,0,416560,0,0,28948,1.2,0
BIZ0079,Kirana Store,Urban,10.5,234977,0.83,88.3,9.8,56.5,8,2,14,0,270445,1,0,39946,0.56,0
BIZ0080,Mobile Repair,Semi-Urban,20.0,92225,0.82,49.9,8.8,40.3,3,7,1,0,123138,1,0,16600,0.62,0
BIZ0081,Dairy Shop,Urban,6.4,97867,0.76,55.4,5.0,42.1,11,7,7,0,278033,0,0,23488,0.99,1
BIZ0082,Mobile Repair,Semi-Urban,5.6,183600,0.73,62.5,4.7,7.3,6,4,1,0,132620,1,0,49572,0.22,0
BIZ0083,Bakery,Semi-Urban,1.0,270669,0.52,98.5,3.8,52.5,7,2,13,1,141070,0,0,129921,0.09,0
BIZ0084,Kirana Store,Semi-Urban,1.6,105748,0.78,42.1,7.3,3.6,4,1,11,0,100498,0,0,23264,0.36,0
BIZ0085,Bakery,Semi-Urban,2.5,269265,0.59,55.0,11.6,19.1,0,6,1,0,53439,1,1,110398,0.04,0
BIZ0086,Bakery,Semi-Urban,5.9,179404,0.52,81.1,3.2,59.5,8,2,2,0,28400,1,1,86113,0.03,1
BIZ0087,Vegetable Vendor,Urban,9.9,144529,0.57,97.5,2.0,25.3,5,1,2,1,114976,0,0,62147,0.15,0
BIZ0088,Kirana Store,Urban,0.8,279395,0.78,40.9,2.3,7.9,2,3,4,1,268305,1,0,61466,0.36,0
BIZ0089,Bakery,Rural,10.2,173099,0.47,45.9,9.6,58.2,2,1,13,0,416562,1,1,91742,0.38,0
BIZ0090,Vegetable Vendor,Urban,4.8,112382,0.61,45.8,4.9,59.0,9,1,1,1,49610,0,0,43828,0.09,1
BIZ0091,Vegetable Vendor,Urban,3.8,24583,0.62,31.5,3.5,11.2,0,4,4,0,76356,0,0,9341,0.68,0
BIZ0092,Kirana Store,Urban,0.9,65387,0.42,72.3,4.9,51.9,7,4,2,1,185647,0,0,37924,0.41,1
BIZ0093,Electrical Shop,Urban,0.5,27224,0.49,76.9,8.1,23.4,1,6,4,0,306872,1,1,13884,1.84,0
BIZ0094,Stationery Shop,Rural,3.4,242444,0.77,72.2,7.0,22.9,11,4,4,0,142702,0,0,55762,0.21,0
BIZ0095,Dairy Shop,Semi-Urban,4.2,281285,0.77,35.0,9.2,15.8,0,1,9,1,316211,1,0,64695,0.41,0
BIZ0096,Stationery Shop,Rural,0.9,169422,0.53,34.8,4.7,2.7,6,5,9,0,332406,1,0,79628,0.35,0
BIZ0097,Mobile Repair,Semi-Urban,3.3,151149,0.79,44.7,6.0,16.1,10,4,1,1,288772,1,0,31741,0.76,0
BIZ0098,Dairy Shop,Urban,7.8,61015,0.75,50.3,2.1,3.2,8,4,5,0,392212,1,1,15253,2.14,0
BIZ0099,Mobile Repair,Urban,7.2,186929,0.59,85.1,1.8,55.5,5,1,7,1,100057,0,0,76640,0.11,0
BIZ0100,Bakery,Semi-Urban,10.5,247268,0.74,41.2,6.1,39.7,7,3,4,0,129049,1,0,64289,0.17,0
BIZ0101,Tea Stall,Urban,1.8,205912,0.83,33.1,4.3,53.2,7,3,12,0,443596,1,0,35005,1.06,1
BIZ0102,Kirana Store,Rural,1.5,20577,0.61,57.6,7.7,43.0,8,2,5,1,84853,1,0,8025,0.88,0
BIZ0103,Dairy Shop,Rural,5.5,297146,0.51,59.1,1.5,7.9,6,6,2,1,447139,1,0,145601,0.26,0
BIZ0104,Dairy Shop,Urban,2.3,65711,0.82,61.6,2.3,56.4,8,3,3,1,321202,1,0,11827,2.26,1
BIZ0105,Bakery,Rural,0.5,54451,0.67,87.9,10.5,54.0,8,4,7,1,343306,0,0,17968,1.59,0
BIZ0106,Electrical Shop,Rural,1.3,195175,0.45,36.9,7.2,20.9,11,5,10,1,381560,0,0,107346,0.3,0
BIZ0107,Vegetable Vendor,Semi-Urban,2.2,49831,0.66,79.3,8.8,6.7,10,2,13,0,480610,0,0,16942,2.36,0
BIZ0108,Bakery,Urban,1.4,264402,0.63,53.7,10.3,42.2,0,6,7,0,221150,1,0,97828,0.19,0
BIZ0109,Medical Store,Urban,1.6,246376,0.79,51.7,6.1,43.7,5,5,4,0,175042,1,1,51738,0.28,1
BIZ0110,Vegetable Vendor,Semi-Urban,1.4,259942,0.64,95.3,9.4,53.8,11,5,12,0,326035,0,0,93579,0.29,0
BIZ0111,Kirana Store,Urban,0.5,110119,0.51,47.4,6.8,3.2,7,4,1,1,161002,1,0,53958,0.25,0
BIZ0112,Vegetable Vendor,Urban,4.1,258466,0.7,75.0,3.5,8.5,9,1,1,0,453534,0,0,77539,0.49,0
BIZ0113,Electrical Shop,Semi-Urban,3.6,238936,0.64,49.3,4.7,35.9,8,1,4,1,337251,0,0,86016,0.33,0
BIZ0114,Vegetable Vendor,Urban,4.2,76554,0.5,65.5,6.4,37.1,3,1,4,0,349097,0,0,38277,0.76,0
BIZ0115,Kirana Store,Semi-Urban,0.9,65755,0.66,85.0,4.5,2.0,1,3,6,1,263147,1,1,22356,0.98,0
BIZ0116,Electrical Shop,Rural,1.4,168412,0.77,91.7,4.7,23.8,10,1,7,0,395577,1,1,38734,0.85,0
BIZ0117,Stationery Shop,Rural,3.9,78884,0.41,88.7,4.7,35.0,8,6,9,0,74108,1,1,46541,0.13,0
BIZ0118,Dairy Shop,Urban,3.7,32482,0.68,70.8,2.4,44.3,8,4,9,1,57574,0,0,10394,0.46,1
BIZ0119,Dairy Shop,Rural,2.8,69225,0.56,47.4,1.9,19.0,11,3,10,0,272757,1,1,30458,0.75,1
BIZ0120,Mobile Repair,Urban,1.7,204921,0.53,76.3,1.5,29.0,7,6,12,0,130287,1,1,96312,0.11,0
BIZ0121,Stationery Shop,Urban,9.8,89854,0.58,79.7,2.2,48.8,2,1,12,0,428073,0,0,37738,0.95,0
BIZ0122,Stationery Shop,Semi-Urban,1.7,56256,0.55,30.7,4.8,57.2,4,6,5,0,441729,1,0,25315,1.45,1
BIZ0123,Vegetable Vendor,Urban,2.4,255617,0.77,60.7,7.5,13.8,1,5,10,0,125434,1,0,58791,0.18,0
BIZ0124,Dairy Shop,Urban,4.5,123721,0.52,89.0,3.1,15.2,2,4,11,1,48593,1,0,59386,0.07,0
BIZ0125,Kirana Store,Semi-Urban,3.1,96110,0.73,64.3,10.8,56.4,0,4,3,0,375363,0,0,25949,1.21,0
BIZ0126,Tailor,Urban,1.7,128606,0.44,51.8,9.9,23.8,3,6,3,0,389188,1,0,72019,0.45,0
BIZ0127,Tailor,Urban,2.3,29650,0.83,91.0,6.7,43.1,4,2,6,0,437100,1,0,5040,7.23,1
BIZ0128,Electrical Shop,Urban,6.3,192190,0.68,40.9,9.0,36.7,11,4,1,1,346130,1,0,61500,0.47,0
BIZ0129,Dairy Shop,Semi-Urban,1.3,43930,0.72,44.5,5.0,17.1,1,5,7,1,278211,0,0,12300,1.88,0
BIZ0130,Dairy Shop,Semi-Urban,0.6,231779,0.53,78.1,1.4,39.2,2,4,3,0,161379,1,0,108936,0.12,0
BIZ0131,Tailor,Urban,1.5,275102,0.59,54.7,10.9,39.3,11,2,5,0,300048,0,0,112791,0.22,0
BIZ0132,Dairy Shop,Urban,7.6,288945,0.5,79.9,2.4,35.5,5,4,7,0,392215,0,0,144472,0.23,0
BIZ0133,Vegetable Vendor,Urban,0.5,66360,0.82,41.0,11.4,6.0,5,7,7,1,381858,1,0,11944,2.66,0
BIZ0134,Medical Store,Urban,19.2,162631,0.62,47.7,7.3,59.7,6,4,9,1,478764,1,0,61799,0.65,0
BIZ0135,Tea Stall,Semi-Urban,3.1,251545,0.68,41.0,4.4,24.0,11,2,1,1,431798,1,1,80494,0.45,1
BIZ0136,Stationery Shop,Urban,16.8,28288,0.73,96.7,6.5,38.3,8,7,3,0,345109,1,0,7637,3.77,0
BIZ0137,Mobile Repair,Urban,11.2,168470,0.57,58.4,6.5,53.1,3,7,9,0,388592,1,0,72442,0.45,0
BIZ0138,Electrical Shop,Semi-Urban,2.4,222302,0.72,53.6,1.3,25.4,4,4,8,0,264519,0,0,62244,0.35,0
BIZ0139,Medical Store,Semi-Urban,0.9,289335,0.7,31.0,4.9,46.4,10,6,2,0,264027,1,0,86800,0.25,1
BIZ0140,Tailor,Semi-Urban,0.7,295195,0.72,40.7,9.1,58.3,1,3,8,0,164097,1,0,82654,0.17,1
BIZ0141,Stationery Shop,Urban,1.1,76715,0.62,59.5,6.6,21.5,5,7,8,0,205516,1,1,29151,0.59,0
BIZ0142,Dairy Shop,Urban,5.0,25737,0.57,34.8,3.7,24.3,3,6,2,1,197686,1,0,11066,1.49,0
BIZ0143,Mobile Repair,Urban,1.3,80140,0.5,65.8,4.7,54.3,4,4,8,0,462160,1,0,40070,0.96,1
BIZ0144,Dairy Shop,Urban,1.7,171323,0.77,61.9,10.5,9.6,6,1,3,1,217259,1,1,39404,0.46,0
BIZ0145,Kirana Store,Semi-Urban,2.4,197047,0.67,83.7,6.8,1.7,5,1,7,0,109724,0,0,65025,0.14,0
BIZ0146,Kirana Store,Rural,9.8,282291,0.6,76.2,6.8,54.5,7,3,13,1,32604,0,0,112916,0.02,0
BIZ0147,Mobile Repair,Semi-Urban,0.8,65508,0.82,61.2,11.6,49.3,5,7,9,1,261515,0,0,11791,1.85,1
BIZ0148,Mobile Repair,Semi-Urban,0.5,296787,0.42,45.7,4.5,58.4,9,4,4,1,445506,1,0,172136,0.22,1
BIZ0149,Tailor,Urban,0.5,118535,0.78,80.9,6.3,3.5,7,5,11,1,227811,1,1,26077,0.73,0
BIZ0150,Mobile Repair,Semi-Urban,9.4,213360,0.85,79.6,9.9,9.4,3,7,6,1,206845,1,0,32004,0.54,0
BIZ0151,Vegetable Vendor,Urban,4.2,73959,0.8,40.7,9.3,6.3,11,4,9,0,295015,0,0,14791,1.66,0
BIZ0152,Dairy Shop,Semi-Urban,1.3,213208,0.76,94.0,3.9,41.0,6,1,11,0,236270,1,0,51169,0.38,0
BIZ0153,Medical Store,Urban,0.8,206812,0.57,34.5,2.7,36.4,2,2,11,1,127318,1,0,88929,0.12,0
BIZ0154,Bakery,Urban,1.4,127255,0.5,33.9,8.7,21.6,0,3,5,1,101981,0,0,63627,0.13,0
BIZ0155,Mobile Repair,Urban,0.5,101322,0.73,43.1,3.8,3.4,8,2,12,1,363718,1,0,27356,1.11,0
BIZ0156,Electrical Shop,Rural,11.4,16132,0.54,93.7,11.1,38.4,8,5,1,0,136376,0,0,7420,1.53,0
BIZ0157,Kirana Store,Urban,6.1,184331,0.48,66.4,2.4,34.2,5,4,3,0,398502,0,0,95852,0.35,0
BIZ0158,Vegetable Vendor,Urban,2.5,242684,0.75,85.2,4.5,6.8,1,5,11,1,159577,0,0,60671,0.22,0
BIZ0159,Stationery Shop,Urban,8.0,274427,0.54,45.9,1.6,54.5,7,2,9,1,459694,0,0,126236,0.3,0
BIZ0160,Bakery,Semi-Urban,1.1,123835,0.81,64.3,8.7,11.9,9,4,3,0,109605,1,0,23528,0.39,0
BIZ0161,Medical Store,Semi-Urban,5.1,157003,0.78,55.1,10.8,44.6,5,7,11,0,432634,0,0,34540,1.04,1
BIZ0162,Bakery,Semi-Urban,7.8,273228,0.78,87.9,8.0,53.1,6,6,11,0,303555,1,0,60110,0.42,0
BIZ0163,Mobile Repair,Urban,1.8,88169,0.75,31.6,11.3,34.8,0,6,10,0,385713,0,0,22042,1.46,1
BIZ0164,Tailor,Semi-Urban,5.7,275529,0.8,47.1,2.4,14.8,2,7,2,0,296642,1,1,55105,0.45,0
BIZ0165,Kirana Store,Urban,1.4,268608,0.76,40.7,2.0,18.6,0,5,4,0,269108,1,0,64465,0.35,0
BIZ0166,Kirana Store,Rural,1.4,249385,0.67,90.1,10.2,53.1,9,6,5,1,343401,1,0,82297,0.35,0
BIZ0167,Stationery Shop,Semi-Urban,0.5,204973,0.53,62.7,10.4,17.9,0,6,7,0,212130,0,0,96337,0.18,0
BIZ0168,Tailor,Urban,2.3,115417,0.8,58.3,10.1,44.8,11,1,7,0,111995,1,0,23083,0.4,0
BIZ0169,Dairy Shop,Urban,5.2,16044,0.78,61.5,9.8,59.4,11,6,9,1,440419,1,1,3529,10.4,1
BIZ0170,Tea Stall,Urban,11.3,192763,0.61,98.0,5.0,60.0,10,1,13,1,118566,0,0,75177,0.13,0
BIZ0171,Vegetable Vendor,Urban,3.7,246807,0.42,89.5,3.4,32.0,0,3,8,1,140498,0,0,143148,0.08,0
BIZ0172,Kirana Store,Urban,8.0,39363,0.69,79.4,11.2,49.6,3,1,13,0,111596,0,0,12202,0.76,0
BIZ0173,Electrical Shop,Semi-Urban,6.9,298445,0.42,50.3,4.4,59.4,6,1,2,1,241382,1,0,173098,0.12,0
BIZ0174,Kirana Store,Urban,0.8,16620,0.82,41.6,5.4,22.5,6,2,12,0,334061,0,0,2991,9.31,1
BIZ0175,Bakery,Urban,2.7,110419,0.83,94.5,8.7,15.1,11,1,8,1,266856,0,0,18771,1.18,0
BIZ0176,Kirana Store,Urban,0.5,183606,0.49,59.6,4.2,6.9,4,1,8,1,150154,0,0,93639,0.13,0
BIZ0177,Kirana Store,Urban,4.6,217701,0.7,49.5,10.0,8.5,11,2,5,0,308074,0,0,65310,0.39,0
BIZ0178,Tea Stall,Rural,12.0,195324,0.44,63.0,1.8,51.2,5,1,13,0,104029,1,0,109381,0.08,0
BIZ0179,Tea Stall,Urban,0.6,37259,0.73,94.2,9.7,35.3,1,6,3,0,300782,1,0,10059,2.49,0
BIZ0180,Medical Store,Semi-Urban,5.3,35655,0.56,57.1,7.6,52.4,4,7,9,1,292868,0,0,15688,1.56,1
BIZ0181,Dairy Shop,Rural,4.0,36602,0.71,69.4,7.3,47.4,6,1,12,0,90738,0,0,10614,0.71,1
BIZ0182,Electrical Shop,Semi-Urban,3.5,157182,0.57,86.2,6.0,40.4,8,3,7,1,123705,0,0,67588,0.15,0
BIZ0183,Kirana Store,Rural,2.0,16537,0.47,59.9,4.0,36.6,5,1,1,0,158099,1,0,8764,1.5,1
BIZ0184,Kirana Store,Urban,1.8,271210,0.58,46.3,6.1,2.9,11,1,8,0,170879,1,0,113908,0.13,0
BIZ0185,Vegetable Vendor,Rural,0.5,192274,0.45,99.6,6.0,52.3,9,3,10,1,118962,0,0,105750,0.09,0
BIZ0186,Tea Stall,Urban,1.0,186236,0.66,97.0,7.4,25.1,3,7,13,1,88109,0,0,63320,0.12,0
BIZ0187,Electrical Shop,Urban,0.5,104743,0.42,89.0,4.1,33.6,2,2,5,1,66849,0,0,60750,0.09,0
BIZ0188,Stationery Shop,Semi-Urban,3.5,101155,0.64,78.2,1.9,1.3,8,6,6,0,287322,1,1,36415,0.66,0
BIZ0189,Medical Store,Rural,0.5,104846,0.8,50.6,2.6,56.2,6,7,9,0,30817,1,0,20969,0.12,1
BIZ0190,Dairy Shop,Rural,8.3,249507,0.78,93.9,8.7,54.2,10,1,10,0,97721,0,0,54891,0.15,0
BIZ0191,Tailor,Urban,3.0,206824,0.8,49.3,1.2,32.6,5,6,14,0,281462,0,0,41364,0.57,0
BIZ0192,Dairy Shop,Urban,4.8,98049,0.81,86.1,10.4,34.6,6,5,8,0,150762,0,0,18629,0.67,0
BIZ0193,Bakery,Rural,2.1,254647,0.45,94.3,8.6,42.3,7,6,14,1,28984,1,0,140055,0.02,0
BIZ0194,Kirana Store,Urban,3.3,35104,0.46,72.2,9.4,15.9,4,2,11,0,351240,0,0,18956,1.54,0
BIZ0195,Medical Store,Semi-Urban,11.4,142904,0.65,86.2,10.2,13.3,2,2,14,0,374085,0,0,50016,0.62,0
BIZ0196,Bakery,Rural,0.5,117499,0.8,85.4,2.3,40.4,2,7,14,0,493988,1,0,23499,1.75,0
BIZ0197,Electrical Shop,Urban,1.2,242336,0.84,43.5,10.0,6.3,1,1,3,0,374576,0,0,38773,0.81,0
BIZ0198,Tailor,Urban,6.1,188084,0.42,76.8,6.6,27.2,7,3,13,1,257359,1,0,109088,0.2,0
BIZ0199,Tea Stall,Urban,0.5,167472,0.56,36.5,10.7,29.6,0,2,5,0,432851,0,0,73687,0.49,1
BIZ0200,Medical Store,Urban,0.5,218141,0.5,65.5,10.8,22.9,11,3,4,0,230150,1,0,109070,0.18,0
BIZ0201,Medical Store,Rural,1.8,134415,0.74,41.4,1.3,11.1,7,7,14,0,134914,0,0,34947,0.32,0
BIZ0202,Kirana Store,Urban,0.5,209716,0.69,59.1,5.2,21.3,2,7,1,1,449558,1,1,65011,0.58,0
BIZ0203,Mobile Repair,Rural,3.5,95206,0.45,88.3,6.8,20.3,8,5,5,1,341824,0,0,52363,0.54,0
BIZ0204,Medical Store,Urban,1.0,205545,0.62,99.1,8.5,30.0,11,3,10,1,135326,0,0,78107,0.14,0
BIZ0205,Vegetable Vendor,Rural,9.0,38723,0.71,52.3,4.1,40.5,11,7,7,0,416238,1,0,11229,3.09,1
